Ticker Symbol,Sector,Date,Price,Open,High,Low,Volume,Change
AP,Industrial,2/15/2013,37.95,37.95,38,37.85,1.28M,0.1%
AP,Industrial,2/18/2013,37.6,38,38,37.55,2.50M,-0.9%
AP,Industrial,2/19/2013,37.6,37.6,37.65,37.55,1.68M,0.0%
AP,Industrial,2/20/2013,37.8,37.65,37.9,37.65,1.83M,0.5%
AP,Industrial,2/21/2013,37.85,37.8,37.9,37.75,3.70M,0.1%
AP,Industrial,2/22/2013,38,37.9,38,37.75,2.03M,0.4%
AP,Industrial,2/25/2013,38.1,37.75,38.5,37.75,2.69M,0.3%
AP,Industrial,2/26/2013,38.4,38.2,38.4,38,2.12M,0.8%
AP,Industrial,2/27/2013,37.5,38.5,38.65,37.5,3.74M,-2.3%
AP,Industrial,2/28/2013,38.5,38.05,38.5,37.65,2.80M,2.7%
AP,Industrial,3/1/2013,37.95,38.5,38.5,37.75,1.26M,-1.4%
AP,Industrial,3/4/2013,38.45,37.95,38.45,37.85,1.10M,1.3%
AP,Industrial,3/5/2013,38.75,38.2,39.1,38.2,6.92M,0.8%
AP,Industrial,3/6/2013,39.95,38.95,39.95,38.95,2.52M,3.1%
AP,Industrial,3/7/2013,39.8,40,40.5,39.55,3.34M,-0.4%
AP,Industrial,3/8/2013,39.9,39.85,40.3,39.75,6.80M,0.3%
AP,Industrial,3/11/2013,37,39.9,40.05,37,3.30M,-7.3%
AP,Industrial,3/12/2013,39.4,39,39.5,39,4.57M,6.5%
AP,Industrial,3/13/2013,39.65,39.2,39.7,39.1,4.85M,0.6%
AP,Industrial,3/14/2013,38.05,38.7,38.7,37.55,2.07M,-4.0%
AP,Industrial,3/15/2013,36.2,37.9,37.9,36.2,5.87M,-4.9%
AP,Industrial,3/18/2013,36.75,36.85,37,36.5,2.84M,1.5%
AP,Industrial,3/19/2013,37.25,36.7,37.25,36.25,3.13M,1.4%
AP,Industrial,3/20/2013,36.85,37.2,37.2,36.55,3.87M,-1.1%
AP,Industrial,3/21/2013,36.5,36.9,37.25,36.45,4.86M,-1.0%
AP,Industrial,3/22/2013,36,36.5,36.6,35.8,3.51M,-1.4%
AP,Industrial,3/25/2013,36.95,36.45,37.25,36.45,3.30M,2.6%
AP,Industrial,3/26/2013,36.4,37,37.1,36.4,1.76M,-1.5%
AP,Industrial,3/27/2013,37,36.6,37.2,36.6,8.03M,1.7%
AP,Industrial,4/1/2013,37,37,37.35,36.9,6.64M,0.0%
AP,Industrial,4/2/2013,36.9,37.2,37.2,36.7,3.77M,-0.3%
AP,Industrial,4/3/2013,37,37,37.15,36.75,5.25M,0.3%
AP,Industrial,4/4/2013,37.1,36.95,37.15,36.9,5.33M,0.3%
AP,Industrial,4/5/2013,36.9,37.15,37.15,36.75,1.85M,-0.5%
AP,Industrial,4/8/2013,36.9,36.9,37,36.3,2.48M,0.0%
AP,Industrial,4/10/2013,37,37,37.2,36.95,5.56M,0.3%
AP,Industrial,4/11/2013,36.95,37,37.1,36.9,3.97M,-0.1%
AP,Industrial,4/12/2013,36.9,37,37.1,36.75,3.39M,-0.1%
AP,Industrial,4/15/2013,36.65,36.8,37,36.65,2.55M,-0.7%
AP,Industrial,4/16/2013,36.15,36.4,36.4,36.05,3.98M,-1.4%
AP,Industrial,4/17/2013,36.65,36.2,36.95,36.2,3.49M,1.4%
AP,Industrial,4/18/2013,36.85,36.65,36.95,36.65,4.67M,0.6%
AP,Industrial,4/19/2013,36.65,36.85,36.85,36.6,2.86M,-0.5%
AP,Industrial,4/22/2013,37.25,36.85,37.3,36.85,2.90M,1.6%
AP,Industrial,4/23/2013,36.85,37.25,37.25,36.85,4.18M,-1.1%
AP,Industrial,4/24/2013,36.9,37.05,37.4,36.8,2.12M,0.1%
AP,Industrial,4/25/2013,37.15,36.85,37.15,36.8,1.17M,0.7%
AP,Industrial,4/26/2013,37,37.2,37.25,37,3.76M,-0.4%
AP,Industrial,4/29/2013,37.05,36.9,37.05,36.85,1.73M,0.1%
AP,Industrial,4/30/2013,37.3,37.05,37.3,36.8,3.72M,0.7%
AP,Industrial,5/2/2013,37.55,37.3,37.6,37,2.40M,0.7%
AP,Industrial,5/3/2013,37.7,37.6,38,37.55,3.10M,0.4%
AP,Industrial,5/6/2013,37.25,37.7,38,36.7,2.63M,-1.2%
AP,Industrial,5/7/2013,36.65,37.5,37.5,36.5,2.28M,-1.6%
AP,Industrial,5/8/2013,36,36.65,36.85,36,3.90M,-1.8%
AP,Industrial,5/9/2013,36,36.85,36.85,35.75,3.83M,0.0%
AP,Industrial,5/10/2013,36.15,36,36.15,35.85,963.30K,0.4%
AP,Industrial,5/14/2013,36.3,36.15,36.4,36,2.74M,0.4%
AP,Industrial,5/15/2013,36.45,36.35,36.65,36.35,3.47M,0.4%
AP,Industrial,5/16/2013,36.4,36.6,36.6,36.2,2.14M,-0.1%
AP,Industrial,5/17/2013,36.35,36.4,36.65,36.1,1.09M,-0.1%
AP,Industrial,5/20/2013,36.3,36.35,36.35,36.1,1.69M,-0.1%
AP,Industrial,5/21/2013,36.7,36.35,36.7,36.25,2.13M,1.1%
AP,Industrial,5/22/2013,37.1,36.7,37.35,36.7,5.07M,1.1%
AP,Industrial,5/23/2013,37.15,37.1,37.25,36.8,4.44M,0.1%
AP,Industrial,5/24/2013,37.1,37.25,37.3,36.75,2.52M,-0.1%
AP,Industrial,5/27/2013,36.9,37.1,37.1,36.2,2.18M,-0.5%
